# name, x, y, type, yaw, hubheight, options
2016-WTW-14542-TR, 664297.849143, 4049774.668745, Summit_GE2.5-116, , ,
2016-WTW-14589-TR, 670083.935735, 4048062.330756, Summit_GE2.5-116, , ,
2016-WTW-14595-TR, 668273.602014, 4047270.593685, Summit_GE2.5-116, , ,
2016-WTW-14559-TR, 664270.122707, 4048794.053117, Summit_GE2.5-116, , ,
2016-WTW-14594-TR, 668824.169945, 4047239.091120, Summit_GE2.5-116, , ,
2016-WTW-14590-TR, 667908.057979, 4048465.862530, Summit_GE2.5-116, , ,
2016-WTW-14564-TR, 664285.944421, 4051146.963874, Summit_GE2.5-116, , ,
2016-WTW-14587-TR, 670288.982534, 4048436.859541, Summit_GE2.5-116, , ,
2016-WTW-14546-TR, 664736.262067, 4050882.120776, Summit_GE2.5-116, , ,
2016-WTW-14592-TR, 669910.762880, 4047564.465906, Summit_GE2.5-116, , ,
2016-WTW-14545-TR, 664649.438379, 4049994.702656, Summit_GE2.5-116, , ,
2016-WTW-14535-TR, 667465.731831, 4048483.099936, Summit_GE2.5-116, , ,
2016-WTW-14588-TR, 670781.535016, 4048605.445754, Summit_GE2.5-116, , ,
2016-WTW-14558-TR, 665051.059833, 4049668.343655, Summit_GE2.5-116, , ,
2016-WTW-14536-TR, 667079.111174, 4048803.651893, Summit_GE2.5-116, , ,
2016-WTW-14593-TR, 669498.839130, 4047285.315093, Summit_GE2.5-116, , ,
